""	"PotGrowth"	"Variable_Size"	"Species"	"Model"	"sizeX0"	"sizeXb"	"alpha"	"beta"	"C"	"D"	"Cprim"	"gamma"	"theta"	"lambdaVec1"	"lambdaVec2"	"lambdaVec3"	"lambdaVec4"	"lambdaVec5"	"lambdaVec6"	"lambdaVec7"	"lambdaVec8"	"lambdaVec9"	"lambdaVec10"	"lambdaVec11"	"lambdaVec12"	"lambdaVec13"	"compX0"	"compXb"	"lambdaVec14"	"lambdaVec15"	"lambdaVec16"	"lambdaVec17"	"lambdaVec18"
"52"	70.4175	"DIA"	"ACPL"	"Model.13b"	0.5	28.04458	0.7418423	0.500896	NA	0.06212922	157.4335	0.5436359	0.2158008	0.0718999	-0.1426723	-0.9925093	0.6677237	1	-0.6827517	0.9983219	-0.433303	0.7604078	0.1583501	-0.2273672	NA	NA	NA	NA	NA	NA	NA	NA	NA
"53"	70.4177	"DIA"	"ACPL"	"Model.13c"	14.3539	0.5	0.5	0.5	NA	NA	NA	NA	NA	0.2181318	0.04519743	-0.04983718	1	0.4158407	-0.4221889	0.817005	0.1651295	1	0.04049217	0.06352073	NA	NA	0.001	12.28242	NA	NA	NA	NA	NA
"54"	140.4456	"DIA"	"ACPL"	"Model.14a"	12.15554	0.5	0.8525923	0.5	NA	0.2988195	643.2385	-0.07213695	-0.01692781	0.1441502	6.270075e-08	4.218026e-07	0.9732732	0.3083614	1.251974e-07	0.7721517	3.67106e-09	0.6150832	0.1566817	4.629688e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"55"	82.53733	"DIA"	"ACPL"	"Model.14b"	13.20653	0.5	0.6309843	0.5000004	NA	0.5573677	238.3574	-0.1211145	-0.03401226	0.1600743	0.0002205706	4.210218e-05	0.9999531	0.325406	1.89276e-05	0.7054974	0.0002632682	0.4743245	0.01783923	0.04454982	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	70.4175	"DIA"	"ACPL"	"Model.14c"	1.291061	5.785401	0.9674777	0.5000043	NA	NA	NA	NA	NA	0.1402063	1.737891e-08	0.1423043	1	0.3269911	0.0002015682	0.3861721	5.887094e-07	0.4083693	0.02952464	0.07590565	NA	NA	0.001	18.99357	NA	NA	NA	NA	NA
"57"	78.9525	"DIA"	"ACRU"	"Model.01a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	78.9525	"DIA"	"ACRU"	"Model.02a"	1.321145	13.70287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	78.9525	"DIA"	"ACRU"	"Model.03a"	34.42481	0.5	2.75697	1.106035	1e-10	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	78.95274	"DIA"	"ACRU"	"Model.04a"	8.359266	0.9301602	0.5000904	2.260766	NA	0.8370938	9.527353	0.3514616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	79.83473	"DIA"	"ACRU"	"Model.05a"	17.11258	0.6216496	0.5	2.511571	NA	0.9294754	1.406346	1.095254	-0.08773477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"62"	78.9525	"DIA"	"ACRU"	"Model.06a"	13.7949	0.6571961	0.5011922	1.981293	NA	0.9233145	5.016395	0.5704034	-0.3797765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	79.17542	"DIA"	"ACRU"	"Model.07a"	1.083181	9.680192	0.5	2.644094	NA	0.9846643	1.44341	0.9629319	-0.1766212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
